month,month_date,effective_date,customer_charge,metering_charge,isr,transmission,rces,distribution,ndc,dcrf,mobile_gen,tcrf,eecrf,total_fixed,total_variable
Apr 2025,2025-04-01,2025-03-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.004811,0.0,0.018606,-0.000196,6.87,0.044602
May 2025,2025-05-01,2025-03-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.004811,0.0,0.018606,-0.000196,6.87,0.044602
Jun 2025,2025-06-01,2025-05-10,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.0,0.018606,-0.000196,6.87,0.046202
Jul 2025,2025-07-01,2025-05-10,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.0,0.018606,-0.000196,6.87,0.046202
Aug 2025,2025-08-01,2025-05-10,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.0,0.018606,-0.000196,6.87,0.046202
Sep 2025,2025-09-01,2025-09-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.0,0.018157,-0.000196,6.87,0.045753
Oct 2025,2025-10-01,2025-09-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.0,0.018157,-0.000196,6.87,0.045753
Nov 2025,2025-11-01,2025-09-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.0,0.018157,-0.000196,6.87,0.045753
Dec 2025,2025-12-01,2025-09-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.00013,0.006411,0.000606,0.018157,-0.000196,6.87,0.046359
Jan 2026,2026-01-01,2025-12-15,2.26,4.61,0.0,0.0,0.0,0.021251,0.0,0.006411,0.0,0.018157,-0.000196,6.87,0.045623
Feb 2026,2026-02-01,2025-12-15,2.26,4.61,0.0,0.0,0.0,0.021251,0.0,0.006411,0.0,0.018157,-0.000196,6.87,0.045623
Mar 2026,2026-03-01,2026-03-01,2.26,4.61,0.0,0.0,0.0,0.021251,0.0,0.006411,0.0,0.018157,5.5e-05,6.87,0.045874
